codigo_ine,nombre,nombre_oficial,provincia_codigo,activo
02901,Pozo Cañada,Pozo Cañada,02,True
03001,"Atzúbia, l'","Atzúbia, l'",03,True
03002,Agost,Agost,03,True
03003,Agres,Agres,03,True
03004,Aigües,Aigües,03,True
03005,Albatera,Albatera,03,True
03006,Alcalalí,Alcalalí,03,True
03007,Alcosser,Alcosser,03,True
03008,Alcoleja,Alcoleja,03,True
03009,Alcoi/Alcoy,Alcoi/Alcoy,03,True
03010,Alfafara,Alfafara,03,True
03011,"Alfàs del Pi, l'","Alfàs del Pi, l'",03,True
03012,Algorfa,Algorfa,03,True
03013,Algueña,Algueña,03,True
03014,Alacant/Alicante,Alacant/Alicante,03,True
03015,Almoradí,Almoradí,03,True
03016,Almudaina,Almudaina,03,True
03017,"Alqueria d'Asnar, l'","Alqueria d'Asnar, l'",03,True
03018,Altea,Altea,03,True
03019,Aspe,Aspe,03,True
03020,Balones,Balones,03,True
03021,Banyeres de Mariola,Banyeres de Mariola,03,True
03022,Benasau,Benasau,03,True
03023,Beneixama,Beneixama,03,True
03024,Benejúzar,Benejúzar,03,True
03025,Benferri,Benferri,03,True
03026,Beniarbeig,Beniarbeig,03,True
03027,Beniardà,Beniardà,03,True
03028,Beniarrés,Beniarrés,03,True
03029,Benigembla,Benigembla,03,True
03030,Benidoleig,Benidoleig,03,True
03031,Benidorm,Benidorm,03,True
03032,Benifallim,Benifallim,03,True
03033,Benifato,Benifato,03,True
03034,Benijófar,Benijófar,03,True
03035,Benilloba,Benilloba,03,True
03036,Benillup,Benillup,03,True
03037,Benimantell,Benimantell,03,True
03038,Benimarfull,Benimarfull,03,True
03039,Benimassot,Benimassot,03,True
03040,Benimeli,Benimeli,03,True
03041,Benissa,Benissa,03,True
03042,"Poble Nou de Benitatxell, el/Benitachell","Poble Nou de Benitatxell, el/Benitachell",03,True
03043,Biar,Biar,03,True
03044,Bigastro,Bigastro,03,True
03045,Bolulla,Bolulla,03,True
03046,Busot,Busot,03,True
03047,Calp,Calp,03,True
03048,Callosa d'en Sarrià,Callosa d'en Sarrià,03,True
03049,Callosa de Segura,Callosa de Segura,03,True
03050,"Campello, el","Campello, el",03,True
03051,"Camp de Mirra, el/Campo de Mirra","Camp de Mirra, el/Campo de Mirra",03,True
03052,Cañada,Cañada,03,True
03053,Castalla,Castalla,03,True
03054,Castell de Castells,Castell de Castells,03,True
03055,Catral,Catral,03,True
03056,Cocentaina,Cocentaina,03,True
03057,Confrides,Confrides,03,True
03058,Cox,Cox,03,True
03059,Crevillent,Crevillent,03,True
03060,Quatretondeta,Quatretondeta,03,True
03061,Daya Nueva,Daya Nueva,03,True
