codigo_ine_provincia,nombre_provincia,nombre_fundacion,enlace_detalle,codigo_registro,timestamp
08,Barcelona,CENTRO DE ESTUDIOS DE PLANIFICACIÓN,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2162&index=1&lang=es_ES,=2162,2026-01-27T18:50:08.582823
08,Barcelona,FERRER PARA LA INVESTIGACIÓN,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2164&index=1&lang=es_ES,=2164,2026-01-27T18:50:08.614012
08,Barcelona,DOCTOR ANTONIO ESTEVE,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2165&index=1&lang=es_ES,=2165,2026-01-27T18:50:08.630600
08,Barcelona,CENTRO DE ESTUDIOS DE PLANIFICACIÓN-FUNDACIÓN DE INVESTIGACIONES,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2169&index=1&lang=es_ES,=2169,2026-01-27T18:50:08.646129
08,Barcelona,RESPIRA. FUNDACIÓN ESPAÑOLA DEL PULMÓN. SEPAR,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2170&index=1&lang=es_ES,=2170,2026-01-27T18:50:08.666467
08,Barcelona,ESPAÑOLA DE LA VOCACIÓN,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2174&index=1&lang=es_ES,=2174,2026-01-27T18:50:08.688300
08,Barcelona,UNIVERSITARIA EUROPEA DE RELACIONES PÚBLICAS,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2175&index=1&lang=es_ES,=2175,2026-01-27T18:50:08.704578
08,Barcelona,PER A LA RECERCA EN ONCOLOGÍA I IMMUNOLOGÍA CARLES VIADER FARRÉ,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2234&index=1&lang=es_ES,=2234,2026-01-27T18:50:08.719275
08,Barcelona,DE LA SOCIEDAD ESPAÑOLA DE ALERGOLOGÍA E INMUNOLOGÍA CLÍNICA PARA EL FOMENTO DE LA INVESTIGACIÓN,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2238&index=1&lang=es_ES,=2238,2026-01-27T18:50:08.732346
08,Barcelona,ESPRIU,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2239&index=1&lang=es_ES,=2239,2026-01-27T18:50:08.747905
08,Barcelona,PARA EL ESTUDIO Y TRATAMIENTO DE LOS ERR0RES INNATOS DEL METABOLISMO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2267&index=1&lang=es_ES,=2267,2026-01-27T18:50:08.760259
08,Barcelona,PRIVADA PARA LA PROMOCIÓN DEL DEPORTE SÁNCHEZ VICARIO,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2269&index=1&lang=es_ES,=2269,2026-01-27T18:50:08.775985
08,Barcelona,ESCUELA APOSTÓLICA DE SAN FRANCISCO JAVIER,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2450&index=1&lang=es_ES,=2450,2026-01-27T18:50:08.791860
08,Barcelona,DE LA SOCIEDAD ESPAÑOLA DE ANGIOLOGÍA Y CIRUGÍA VASCULAR,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2509&index=1&lang=es_ES,=2509,2026-01-27T18:50:08.799173
08,Barcelona,PARA EL ESTUDIO DE LA SEGURIDAD DE LAS TELECOMUNICACIONES (FESTE),https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=2515&index=1&lang=es_ES,=2515,2026-01-27T18:50:08.828747
08,Barcelona,PHARMACEUTICAL CARE ESPAÑA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=3444&index=1&lang=es_ES,=3444,2026-01-27T18:50:08.843888
08,Barcelona,MUNDO SANO- ESPAÑA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=3451&index=1&lang=es_ES,=3451,2026-01-27T18:50:08.858857
08,Barcelona,FETEIA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=3483&index=1&lang=es_ES,=3483,2026-01-27T18:50:08.871162
08,Barcelona,EDEBE,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4006&index=1&lang=es_ES,=4006,2026-01-27T18:50:08.881578
08,Barcelona,SOPRODEN FUNDACIÓN PARA LA PROMOCIÓN Y DESARROLLO DE LA PRÓTESIS DENTAL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4064&index=1&lang=es_ES,=4064,2026-01-27T18:50:08.902411
08,Barcelona,DE ESTUDIOS PORTUARIOS (FUNESPOR),https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4072&index=1&lang=es_ES,=4072,2026-01-27T18:50:08.912731
08,Barcelona,ACCIÓN PARA LA PAZ Y LA CULTURA,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4111&index=1&lang=es_ES,=4111,2026-01-27T18:50:08.940015
08,Barcelona,REAL MONASTERIO SANTA ISABEL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4156&index=1&lang=es_ES,=4156,2026-01-27T18:50:08.954088
08,Barcelona,INEVAL,https://fundosbuscador.mjusticia.gob.es/fundosbuscador/DetalleFundacion.action?idFundacion=4177&index=1&lang=es_ES,=4177,2026-01-27T18:50:08.970531
