Número de Inscripción,Número de Inscripción Antiguo,Sección,Nombre,Nombre Genérico,Fecha de Inscripción,Tipo de Entidad,Confesión,Subconfesión,Ámbito,Domicilio,Poblacion,Provincia,Codigo Postal,Comunidad Autónoma,Web,Representantes legales,Federaciones
14886,2435-/0-SE/C,Sección Especial (Católicas),COFRADIA DE LA SANTISIMA VIRGEN DE LOS DOLORES DE CIEZA,,19900119,ASOCIACIÓN,CATÓLICOS, ,,"CANOVAS DEL CASTILLO, 7",CIEZA,MURCIA,0,MURCIA,,MARIA JOSE ROJAS MARIN,JUNTA DE HERMANDADES PASIONARIAS DE CIEZA
21456,8259-/-SE/C,Sección Especial (Católicas),COFRADIA DE LA SANTISIMA VIRGEN DE LOS DOLORES DE JAVALI NUEVO,,20120507,ASOCIACIÓN,CATÓLICOS, ,,"ALFONSO XIII, 2 (PARROQUIA DE LA PURISIMA)",JAVALI NUEVO,MURCIA,0,MURCIA,,FRANCISCO RAMON JIMENEZ PARRA,
25093,,Sección Especial (Católicas),COFRADIA DE LA SANTISIMA VIRGEN DE LOS DOLORES DE ZENETA,,20200116,ASOCIACIÓN,CATÓLICOS, ,,CONCEPCION 2 PARROQUIA NUESTRA SEÑORA DEL ROSARIO,ZENETA,MURCIA,30588,MURCIA,,JOSE FRANCISCO PEREZ RODRIGUEZ,
22221,,Sección Especial (Católicas),COFRADIA DE LA SANTISIMA VIRGEN DEL PRIMER DOLOR UNCION DE JESUS EN BETANIA Y VIRGEN GLORIOSA,,20141027,ASOCIACIÓN,CATÓLICOS, ,,"CANALEJAS, 85",JUMILLA,MURCIA,30520,MURCIA,,MARIA PILAR GUARDIOLA ABELLAN,
26486,,Sección Especial (Católicas),"COFRADIA DE LA VENERABLE ESCLAVITUD DE NUESTRO PADRE JESUS DE MEDINACELI, DE MURCIA",,20221018,ASOCIACIÓN,CATÓLICOS, ,,PLAZA GONZALEZ CONDE Nº1  -- IGLESIA PARROQUIAL DE NUESTRA SEÑORA DEL CARMEN --,MURCIA,MURCIA,30002,MURCIA,,FERNANDO BLAYA MIRALLES,
24238,,Sección Especial (Católicas),COFRADIA DE LA VERONICA DE BLANCA,,20180627,ASOCIACIÓN,CATÓLICOS, ,,PLAZA DE LA IGLESIA S/N,BLANCA,MURCIA,30540,MURCIA,,RAFAEL MARTINEZ GARCIA,CONSEJO SUPERIOR DE COFRADIAS Y HERMANDADES DE PASION Y GLORIA DE LA VILLA DE BLANCA
27914,,Sección Especial (Católicas),COFRADIA DE LA VIRGEN DE LA PIEDAD DE SANTOMERA(MURCIA),,20250619,ASOCIACIÓN,CATÓLICOS, ,,"IGLESIA PARROQUIAL DE NUESTRA SEÑORA DEL ROSARIO - PLAZA DE LA IGLESIA, 1",SANTOMERA,MURCIA,30140,MURCIA,,JUAN ANTONIO VIGUERAS CUTILLAS,CABILDO SUPERIOR DE COFRADIAS PASIONARIAS DE SANTOMERA (MURCIA)
26911,,Sección Especial (Católicas),"COFRADIA DE LA VIRGEN DE LA SOLEDAD DEL MAR MENOR Y SANTO ENTIERRO, DE SANTIAGO DE LA RIBERA - SAN JAVIER - (MURCIA)",,20230711,ASOCIACIÓN,CATÓLICOS, ,,C/ HERMANDAD DE SANTIAGO Y SAN BLAS Nº 2,SANTIAGO DE LA RIBERA - SAN JAVIER,MURCIA,30720,MURCIA,,ANTONIO AIBAR CARRION,
21992,8804-/-SE/C,Sección Especial (Católicas),COFRADIA DE LA VIRGEN DE LOS DOLORES,,20140211,ASOCIACIÓN,CATÓLICOS, ,,"PLAZA VIEJA, S/N",CEUTI,MURCIA,0,MURCIA,,VICTORIA CANO LORENTE,CABILDO SUPERIOR DE COFRADIAS DE CEUTI
22519,,Sección Especial (Católicas),COFRADIA DE LA VIRGEN DE LOS DOLORES DE CEHEGIN,,20150525,ASOCIACIÓN,CATÓLICOS, ,,"PLAZA DE LA SOLEDAD, S/N IGLESIA DE LA SOLEDAD",CEHEGIN,MURCIA,30430,MURCIA,,FRANCISCA BUITRAGO RAIGAL,JUNTA CENTRAL DE COFRADIAS DE SEMANA SANTA DE CEHEGIN
24613,,Sección Especial (Católicas),COFRADIA DE LA VIRGEN DEL ROSELL Y LOS CUATRO SANTOS DE CARTAGENA,,20190328,ASOCIACIÓN,CATÓLICOS, ,,AIRE 26  PARROQUIA SANTA MARIA DE GRACIA ,CARTAGENA ,MURCIA,30202,MURCIA,,MANUEL  SALMERON MARTINEZ ,
21826,8637-/-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRA EXCELSA SEÑORA MARIA SANTISIMA DE LA ASUNCION CORONADA Y DEL GLORIOSO SAN ROQUE,,20130701,ASOCIACIÓN,CATÓLICOS, ,,"ARCO DE SAN ROQUE, S/N, ERMITA DE SAN ROQUE",JUMILLA,MURCIA,30520,MURCIA,,FIDELA SIMÓN GUARDIOLA,
15168,2562-/0-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DE LA ESPERANZA,,19910603,ASOCIACIÓN,CATÓLICOS, ,,"ESPAÑA, 1. BASILICA DE LA PURISIMA",YECLA,MURCIA,0,MURCIA,,MARIA FORTE MUÑOZ,
27183,,Sección Especial (Católicas),"COFRADIA DE NUESTRA SEÑORA DE LA PIEDAD Y CRISTO YACENTE, DE PATIÑO (MURCIA)",,20240305,ASOCIACIÓN,CATÓLICOS, ,,"C/ IGLESIA, 1 - PARROQUIA DE NTRA SRA DE LA FUENSANTA",MURCIA,MURCIA,30012,MURCIA,,MARIA CARMEN LOPEZ LIZA,
24551,,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DE LA SOLEDAD DE MAZARRON,,20190213,ASOCIACIÓN,CATÓLICOS, ,,RAMON Y CAJAL S/N ,MAZARRON ,MURCIA,30870,MURCIA,,AGUSTIN  LOPEZ GARCIA,
28055,,Sección Especial (Católicas),"COFRADIA DE NUESTRA SEÑORA DE LA SOLEDAD DEL MONTE CALVARIO, DE CARTAGENA",,20250916,ASOCIACIÓN,CATÓLICOS, ,,PLAZA DE LA CONSTITUCION 38,CARTAGENA,MURCIA,30202,MURCIA,,JOSE ANTONIO GARCIA ARMERO,
21290,8097-/-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DE LAS ANGUSTIAS,,20111202,ASOCIACIÓN,CATÓLICOS, ,,"SACRISTIA, 1 (SALONES DE LA PARROQUIA DE NUESTRA SEÑORA DEL ROSARIO)",ERA ALTA,MURCIA,0,MURCIA,,D. JUAN DE DIOS MARTINEZ LOPEZ,
17483,4337-/0-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DE LAS ANGUSTIAS DE YECLA,,19971222,ASOCIACIÓN,CATÓLICOS, ,,"ESPAÑA, 3 - BASILICA DE LA PURISIMA",YECLA,MURCIA,0,MURCIA,,VICENTE ALBERT ORTUÑO,
21591,8391-/-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DE LAS LAGRIMAS,,20120917,ASOCIACIÓN,CATÓLICOS, ,,"PLAZA DE LA IGLESIA, 15 (IGLESIA PARROQUIAL DE NUESTRA SEÑORA DE LAS LAGRIMAS)",CABEZO DE TORRES,MURCIA,0,MURCIA,,MARIA JESUS FRANCO VALVERDE,
21704,8515-/-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DE LAS PENAS,,20130401,ASOCIACIÓN,CATÓLICOS, ,,"SAN VICENTE, S/N (PARROQUIA DE SAN JOSE)",PUERTO DE MAZARRON,MURCIA,0,MURCIA,,PEDRO TORRES PEDRERO,CABILDO SUPERIOR DE COFRADIAS DE PUERTO DE MAZARRON
18038,4870-/-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DE LOS DOLORES,,20000714,ASOCIACIÓN,CATÓLICOS, ,,"HUERTAS, 7 - PARROQUIA DE SANTIAGO APOSTOL",LORQUI,MURCIA,30564,MURCIA,,FRANCISCO GARCIA MARCO,CABILDO SUPERIOR DE COFRADIAS DE LORQUI (MURCIA)
21291,8098-/-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DE LOS DOLORES,,20111202,ASOCIACIÓN,CATÓLICOS, ,,"SACRISTIA, 1 (SALONES DE LA PARROQUIA DE NUESTRA SEÑORA DEL ROSARIO)",ERA ALTA,MURCIA,0,MURCIA,,D. JOAQUIN ORTUÑO HERNANDEZ,
22333,,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DE LOS DOLORES DE BULLAS,,20150128,ASOCIACIÓN,CATÓLICOS, ,,"PLAZA DE ESPAÑA, S/N",BULLAS,MURCIA,30180,MURCIA,,JUANA JOSEFA VALERA CORBALAN,CABILDO SUPERIOR DE COFRADIAS DE BULLAS
24059,,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DE LOS DOLORES DE SAN JOSE DE LA VEGA ,,20180406,ASOCIACIÓN,CATÓLICOS, ,,VICTORIA 14  PARROQUIA,SAN JOSE DE LA VEGA ,MURCIA,30570,MURCIA,,SANTOS  TORTOSA RUIZ ,
22903,,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DE LOS DOLORES DE TORREPACHECO,,20160129,ASOCIACIÓN,CATÓLICOS, ,,PLAZA DE LA IGLESIA S/N,DOLORES DE PACHECO     TORREPACHECO,MURCIA,30739,MURCIA,,JUAN MANUEL  LOPEZ LAMBERTOS,
27684,,Sección Especial (Católicas),"COFRADIA DE NUESTRA SEÑORA DE LOS DOLORES, DE MULA (MURCIA) ",,20250130,ASOCIACIÓN,CATÓLICOS, ,,"PARROQUIA DE SAN MIGUEL ARCANGEL - C/ SAN MIGUEL, 22",MULA,MURCIA,30170,MURCIA,,ALVARO LOPEZ BOLUDA,CABILDO SUPERIOR DE COFRADIAS PASIONARIAS DE LA CIUDAD DE MULA (MURCIA)
21882,8694-/-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DE LOS DOLORES-PASO AZUL-,,20131004,ASOCIACIÓN,CATÓLICOS, ,,"MAYOR, 1 (PARROQUIA DE EL SALVADOR)",CARAVACA DE LA CRUZ,MURCIA,0,MURCIA,,D. MIGUEL NAVARRO SÁNCHEZ,AGRUPACION DE COFRADIAS DE SEMANA SANTA DE CARAVACA DE LA CRUZ (MURCIA)
23514,,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DEL AMOR HERMOSO-VIRGEN DE LA MEDALLA DE BENIEL,,20170531,ASOCIACIÓN,CATÓLICOS, ,,"AVDA. DE LA BASCA, S/N  Ermita",BENIEL,MURCIA,30130,MURCIA,,PEDRO COLL PEREZ,
22469,,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DEL CARMEN DE MURCIA,,20150507,ASOCIACIÓN,CATÓLICOS, ,,"PLAZA GONZALEZ CONDE, 1",MURCIA,MURCIA,30002,MURCIA,,MARIA DE LOS ANGELES GIL PELLICENA,
22044,8856-/-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA DEL PASO,,20140423,ASOCIACIÓN,CATÓLICOS, ,,"PLAZA DE LA IGLESIA, 1 (PARROQUIA DE NUESTRA SEÑORA DEL SOCORRO)",LA ÑORA,MURCIA,0,MURCIA,,D. ANGEL CASTAÑO ORTIN,
24261,,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA VIRGEN DE LA ALEGRIA DE ALGUAZAS,,20180712,ASOCIACIÓN,CATÓLICOS, ,,PLAZA DE LA IGLESIA 1,ALGUAZAS ,MURCIA,30560,MURCIA,,JOAQUIN BRAVO MARTINEZ,JUNTA DE HERMANDADES Y COFRADIAS PASIONARIAS DE ALGUAZAS (MURCIA)
21883,8695-/-SE/C,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA VIRGEN DE LA FUENSANTA - LA PEREGRINA,,20131004,ASOCIACIÓN,CATÓLICOS, ,,"MARIANO RUIZ FUNES, 12 BIS (IGLESIA PARROQUIAL DE SANTA MARIA MADRE DE LA IGLESIA)",MURCIA,MURCIA,0,MURCIA,,"D. CARLOS GARCÍA SÁNCHEZ,",
23099,,Sección Especial (Católicas),COFRADIA DE NUESTRA SEÑORA VIRGEN DE LOS DOLORES DE AGUILAS,,20160902,ASOCIACIÓN,CATÓLICOS, ,,"CALLE SALITRE, 2-BAJO-PUERTA 5",AGUILAS,MURCIA,30880,MURCIA,,JOSE CACERES OLIVARES  ,CABILDO DE COFRADIAS Y HERMANDADES PASIONARIAS DE AGUILAS 
