Denomiancion ERE,provincia_entidad,poblacion_entidad,Denominacion BDNS,provincia_subvencionada,localidad_subvencionada
	MONASTERIO DEL SAGRADO CORAZON DE JESUS	,lãrida,lleida,Misioneros del Sagrado Corazón de Jesús,valladolid,valladolid
	RELIGIOSAS DE MARIA INMACULADA MISIONERAS CLARETIANAS	,lãrida,tremp,Religiosas de María Inmaculada - Servicio Doméstico,melilla,melilla
"ASOCIACION ""CONGREGACION DE LA PURISIMA SANGRE""",lãrida,lleida,Congregación de la Purísima Sangre,lleida,lleida
HERMANITAS DE LOS ANCIANOS DESAMPARADOS AYTONA,lãrida,aytona,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
MISIONERAS AUXILIARES DE LA IGLESIA,lãrida,lleida,Misioneras Cruzadas de la Iglesia,madrid,madrid
OBRA DIOCESANA DE FORMACION PROFESIONAL,lãrida,solsona,Misioneras Divino Maestro - Centro de Formación Profesional,a coruña,puebla caramiñal
	CASA INMACULADO CORAZON DE MARIA	,la rioja,logroão,AF. Inmaculado Corazón de María,tenerife,abona
	COLEGIO Y ESCUELA PROFESIONAL SAGRADO CORAZON	,la rioja,logroão,Jesuitas - Escuelas Profesionales Sagrado Corazón,la rioja,logroño
	COMUNIDAD AUXILIARES PARROQUIALES DE CRISTO SACERDOTE	,la rioja,haro,Auxiliares Parroquiales Cristo Sacerdote,valencia,picanya
	COMUNIDAD AUXILIARES PARROQUIALES DE CRISTO SACERDOTE	,la rioja,logroão,Auxiliares Parroquiales Cristo Sacerdote,valencia,picanya
	COMUNIDAD EN COLEGIO DEL SAGRADO CORAZON	,la rioja,fuenmayor,Corazonistas - Colegio Sagrado Corazón,barcelona,barcelona
	COMUNIDAD VIRGEN DE LA ESPERANZA	,la rioja,logroão,Hermandad Virgen de la Esperanza,valencia,la pobla de f.
	CONVENTO DE SAN FRANCISCO	,la rioja,alfaro,Convento de San Francisco,a coruña,santiago
	CONVENTO DE SANTA MARIA LA REAL	,la rioja,najera,Monasterio Santa María la Real,la rioja,nájera
	HOGAR DE ANCIANOS JESUS NAZARENO	,la rioja,ezcaray,Hogar Jesús Nazareno,la rioja,ezcaray
	MONASTERIO DE SANTA CLARA	,la rioja,arnedo,Clarisas - Monasterio de Santa Clara,murcia,caravaca
	MONASTERIO MADRE DE DIOS	,la rioja,logroão,Dominicas - Monasterio Madre de Dios,valladolid,olmedo
"COFRADIA DE SANTA MARIA MAGDALENA, DE LOGROÃO",la rioja,logroão,Cofradía Santa María Magdalena,castellón,vila-real
HERMANITAS DE LOS ANCIANOS DESAMPARADOS LOGROÃO,la rioja,logroão,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
JUVENTUDES MARIANAS VICENCIANAS CENTRO COLEGIO SAGRADO CORAZON,la rioja,arnedo,Jesuitas - Escuelas Profesionales Sagrado Corazón,la rioja,logroño
RELIGIOSAS DE MARIA INMACULADA -CASA DE LOGROÃO-,la rioja,logroão,Religiosas María Inmaculada,la rioja,logroño
	CASA COLEGIO MARIA AUXILIADORA	,lugo,lugo,Colegio Diocesano Maria Auxiliadora,lugo,lugo
	COMUNIDAD EN COLEGIO SAGRADO CORAZON	,lugo,ribadeo,Hijas de la Caridad - Colegio Sagrado Corazón,lugo,ribadeo
	CONVENTO DE LA PURISIMA CONCEPCION	,lugo,lugo,Hermandad de la Purísima Concepción,córdoba,córdoba
	CONVENTO DE LA PURISIMA CONCEPCION	,lugo,lugo,Hermandad de la Purísima Concepción,córdoba,córdoba
	FRANCISCANAS MONASTERIO DE LA PURISIMA CONCEPCION	,lugo,mondoãedo,Cáritas Parroquia de la Purísima Concepción,murcia,caravaca
	MONASTERIO  DE LA SANTISIMA TRINIDAD	,lugo,muxa san fiz,Hermandad de la Santísima Trinidad,tarragona,l'espluga de f.
	MONASTERIO DE LA PURISIMA CONCEPCION	,lugo,monforte de lemos,Hermandad de la Purísima Concepción,córdoba,córdoba
	MONASTERIO DE SANTA CLARA	,lugo,ribadeo,Clarisas - Monasterio de Santa Clara,murcia,caravaca
CASA MARISTA LA INMACULADA LUGO,lugo,lugo,Maristas - Colegio Inmaculada,lugo,lugo
CASA-COMUNIDAD NUESTRA SEÃORA DEL PILAR,lugo,foz,Franciscanas - Colegio N. Sra. del Pilar,lugo,foz
HERMANITAS DE LOS ANCIANOS DESAMPARADOS LUGO,lugo,lugo,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
HERMANITAS DE LOS ANCIANOS DESAMPARADOS VIVERO,lugo,vivero,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
"PIA UNION "" OBRERAS DE JESUS""",lugo,lugo,Pía Unión Obreras de Jesús,león,león
"PIA UNION ""OBRERAS DE JESUS""",lugo,monterroso,Pía Unión Obreras de Jesús,león,león
"PIA UNION ""OBRERAS DE JESUS""",lugo,pobra do brollon (a ferreirua),Pía Unión Obreras de Jesús,león,león
	ABADIA DE LA SANTA CRUZ	,madrid,san lorenzo de el escorial,Cofradía de la Santa Cruz,badajoz,la guareña
	CASA  LA INMACULADA	,madrid,madrid,Casa del Amparo Inmaculada,zaragoza,alagón
"	CASA ""HERMANAS DE LA CARIDAD DE SAN VICENTE DE PAUL""	",madrid,villa del prado,Hermanas de la Caridad de San Vicente de Paul,baleares,palma
	CASA CENTRAL Y DE FORMACION	,madrid,madrid,La Salle. Centro de Formación,gipuzkoa,irún
	CASA CENTRO INFANTIL MARIA AUXILIADORA	,madrid,madrid,A. Romería María Auxiliadora,málaga,antequera
	CASA CENTRO SAN JUAN DE DIOS	,madrid,ciempozuelos,San Juan de Dios,sevilla,alcalá de g.
	CASA COLEGIO AMOR DE DIOS	,madrid,alcorcon,Mercedarias - Colegio Madre de Dios,murcia,lorca
	CASA COLEGIO EL AVE MARIA	,madrid,madrid,Colegio Ave María - AMPA,granada,albolote
	CASA COLEGIO MARIA CORREDENTORA	,madrid,madrid,Salesianas - AMPA Colegio María Auxiliadora,madrid,majadahonda
	CASA COLEGIO MARIA REINA	,madrid,aravaca,Salesianas - AMPA Colegio María Auxiliadora,madrid,majadahonda
	CASA COLEGIO PATROCINIO DE MARIA	,madrid,madrid,Hijas del Patrocinio de María,córdoba,córdoba
	CASA COLEGIO SAGRADA FAMILIA	,madrid,madrid,Colegio Sagrada Familia,alicante,elda
	CASA COLEGIO SAGRADO CORAZON	,madrid,alcala de henares,Capuchinos - Colegio Sagrado Corazón,madrid,madrid
	CASA COLEGIO SAGRADO CORAZON DE JESUS	,madrid,madrid,Colegio Diocesano Sagrado Corazón de Jesús,valencia,alginet
	CASA COLEGIO SAN FRANCISCO DE ASIS	,madrid,madrid,Franciscanos - Colegio San Francisco de Asís,alicante,cocentaina
	CASA COLEGIO VIRGEN DE MIRASIERRA	,madrid,madrid,Corazonistas - Colegio Virgen de Mirasierra,madrid,madrid
	CASA COMPAÃÃA DE MARIA	,madrid,madrid,Compañía de María,almería,almería
	CASA COMUNIDAD SIERVAS DE SAN JOSE	,madrid,madrid,Siervas de San José,madrid,madrid
	CASA CRISTO REY	,madrid,pozuelo de alarcon,Esclavas de Cristo Rey,navarra,burlada
	CASA DE CRISTO REY	,madrid,madrid,Esclavas de Cristo Rey,navarra,burlada
	CASA DE ESPIRITUALIDAD	,madrid,madrid,Pallottines - Casa de Espiritualidad,bizkaia,carranza
	CASA DE ESPIRITUALIDAD MARIA AUXILIADORA	,madrid,majadahonda,Salesianas - AMPA Colegio María Auxiliadora,madrid,majadahonda
	CASA DE ESPIRITUALIDAD SAGRADO CORAZON DE JESUS	,madrid,san lorenzo de el escorial,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
	CASA DE FORMACION	,madrid,madrid,La Salle. Centro de Formación,gipuzkoa,irún
	CASA DE FORMACION	,madrid,madrid,La Salle. Centro de Formación,gipuzkoa,irún
	CASA DE FORMACION	,madrid,madrid,La Salle. Centro de Formación,gipuzkoa,irún
	CASA DE FORMACION	,madrid,madrid,La Salle. Centro de Formación,gipuzkoa,irún
	CASA DE FORMACION	,madrid,pozuelo de alarcon,La Salle. Centro de Formación,gipuzkoa,irún
	CASA DE JESUS-MARIA	,madrid,madrid,Casa de Jesús-María,cádiz,jerez
	CASA DE JESUS-MARIA	,madrid,madrid,Casa de Jesús-María,cádiz,jerez
	CASA DE JESUS-MARIA	,madrid,madrid,Casa de Jesús-María,cádiz,jerez
	CASA DE LA INMACULADA CONCEPCION	,madrid,madrid,Hijas de la Inmaculada - Colegio,álava,vitoria
	CASA DE LA SANTISIMA TRINIDAD	,madrid,san martin de la vega,Hermandad de la Santísima Trinidad,tarragona,l'espluga de f.
	CASA DE LA SANTISIMA TRINIDAD	,madrid,madrid,Hermandad de la Santísima Trinidad,tarragona,l'espluga de f.
	CASA DE LAS HERMANAS HOSPITALARIAS DEL SAGRADO CORAZON DE JESUS	,madrid,madrid,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
	CASA DE LAS HERMANAS HOSPITALARIAS DEL SAGRADO CORAZON DE JESUS	,madrid,madrid,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
	CASA DE LAS HERMANAS HOSPITALARIAS DEL SAGRADO CORAZON DE JESUS	,madrid,ciempozuelos,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
	CASA DE LOS SACERDOTES DEL SAGRADO CORAZON DE JESUS	,madrid,pozuelo de alarcon,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
	CASA DE MADRID	,madrid,madrid,Consejo Evangélico de Madrid,madrid,madrid
	CASA DE MADRID	,madrid,madrid,Consejo Evangélico de Madrid,madrid,madrid
	CASA DE MADRID	,madrid,madrid,Consejo Evangélico de Madrid,madrid,madrid
	CASA DE MADRID	,madrid,madrid,Consejo Evangélico de Madrid,madrid,madrid
	CASA DE NAZARET	,madrid,madrid,Cofradía Jesús de Nazaret,alicante,alicante
	CASA DE SAN JOSE	,madrid,madrid,Siervas de San José,madrid,madrid
	CASA DEL INSTITUTO MISIONERAS OBLATAS DE MARIA INMACULADA	,madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
	CASA DEL SANTISIMO CORPUS CHRISTI	,madrid,madrid,A. Amigos del Corpus Christi,albacete,hellín
	CASA DEL SANTISIMO REDENTOR	,madrid,madrid,Oblatas del Santísimo Redentor,almería,almería
	CASA EN PARROQUIA SAN VICENTE DE PAUL	,madrid,madrid,Parroquia San Vicente de Paúl,las palmas,las palmas
	CASA MARIA AUXILIADORA	,madrid,madrid,Hijas Maria Auxiliadora - Colegio,madrid,madrid
	CASA MARISTA SANTA MARIA	,madrid,collado villalba,Maristas - Colegio Santa María,ourense,ourense
	CASA MISIONEROS DEL VERBO DIVINO	,madrid,"leganes
leganes",Congregación del Verbo Divino,navarra,estella
	CASA NOVICIADO DE SAN JOSE	,madrid,madrid,Siervas de San José,madrid,madrid
	CASA NUESTRA SEÃORA DE LA SOLEDAD	,madrid,colmenar viejo,Cofradía N. Sra. de la Soledad,alicante,alicante
	CASA RELIGIOSA RESIDENCIA FRAY LUIS DE LEON	,madrid,guadarrama,Agustinos - Residencia Fray Luis de León,madrid,madrid
	CASA SAN FRANCISCO DE ASIS	,madrid,torrelodones,Clavaria San Francisco de Asís,valencia,mislata
	CASA SAN MARTIN DE PORRES	,madrid,mostoles,Parroquia San Martín de Porres,córdoba,córdoba
	CASA SANTA TERESA DE JESUS	,madrid,madrid,Parroquia Santa Teresa de Jesús,madrid,colmenar
	CASA VIRGEN DEL PILAR	,madrid,cercedilla,Hermandad Virgen del Pilar,toledo,navalmorales
	CASA Y COLEGIO CRISTO REY	,madrid,madrid,Maristas - Colegio Cristo Rey,a coruña,a coruña
	CENTRO DE ANIMACION MISIONERA DANIEL COMBONI	,madrid,madrid,Combonianos - Animación Misionera Daniel Comboni,madrid,madrid
	CENTRO DE MADRID	,madrid,madrid,Consejo Evangélico de Madrid,madrid,madrid
	CENTRO LOCAL LA INMACULADA	,madrid,alcorcon,Concepcionistas - Colegio La Inmaculada,madrid,madrid
	CENTRO LOCAL SANTA MARIA	,madrid,madrid,Coro Parroquial Santa María,barcelona,igualada
	COLEGIO DE JESUS NAZARENO	,madrid,getafe,A. Padre Jesús Nazareno,madrid,parla
	COLEGIO DE LA SANTISIMA TRINIDAD	,madrid,alcorcon,Parroquia de la Santísima Trinidad,albacete,albacete
	COLEGIO MARIA AUXILIADORA	,madrid,madrid,Salesianas - AMPA Colegio María Auxiliadora,madrid,majadahonda
	COLEGIO PUREZA DE MARIA	,madrid,madrid,Hijas de María,madrid,madrid
"	COMPAÃIA DE MARIA (MARIANISTAS), EN ESPAÃA	",madrid,madrid,Compañía de María - Colegio Virgen del Pilar,madrid,madrid
	COMUNIDAD	,madrid,madrid,Comunidad Judía,madrid,madrid
	COMUNIDAD	,madrid,madrid,Comunidad Judía,madrid,madrid
	COMUNIDAD	,madrid,madrid,Comunidad Judía,madrid,madrid
	COMUNIDAD AUXILIARES PARROQUIALES DE CRISTO SACERDOTE	,madrid,madrid,Auxiliares Parroquiales Cristo Sacerdote,valencia,picanya
	COMUNIDAD AUXILIARES PARROQUIALES DE CRISTO SACERDOTE	,madrid,torrelodones (colonia),Auxiliares Parroquiales Cristo Sacerdote,valencia,picanya
	COMUNIDAD DE AGUSTINOS RECOLETOS	,madrid,madrid,Agustinos Recoletos,valladolid,valladolid
	COMUNIDAD DE HIJAS DE LA CARIDAD DE MARIA INMACULADA	,madrid,morata de tajuãa,Hijas de la Caridad - Colegio María Inmaculada,albacete,albacete
	COMUNIDAD DE LA SAGRADA FAMILIA	,madrid,griãon,Hermanos de la Sagrada Familia,madrid,madrid
	COMUNIDAD DE MADRID	,madrid,madrid,Consejo Evangélico de Madrid,madrid,madrid
	COMUNIDAD DE MISIONERAS DE LA INMACULADA CONCEPCION	,madrid,madrid,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
	COMUNIDAD DE MISIONERAS DE LA INMACULADA CONCEPCION	,madrid,pozuelo de alarcon,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
	COMUNIDAD DE NAZARET	,madrid,madrid,Jesuitas - Comunidad de Nazaret,alicante,alicante
	COMUNIDAD DE RELIGIOSAS DE LA CRUZ DEL SAGRADO CORAZON DE JESUS	,madrid,robledo de chavela,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
	COMUNIDAD DE RELIGIOSAS DEL SAGRADO CORAZON	,madrid,madrid,RSCJ - Religiosas del Sagrado Corazón,madrid,madrid
	COMUNIDAD DE SAN ANTONIO	,madrid,la cabrera,Hermandad de San Antonio,madrid,el escorial
	COMUNIDAD DEL COLEGIO DEL SAGRADO CORAZON	,madrid,madrid,RSCJ - Religiosas del Sagrado Corazón,madrid,madrid
	COMUNIDAD DEL COLEGIO INMACULADA CONCEPCION	,madrid,madrid,Concepcionistas - Colegio Inmaculada Concepción,león,camponaraya
	COMUNIDAD DEL COLEGIO LA SALLE - SAN RAFAEL	,madrid,madrid,La Salle - Colegio San Rafael,madrid,madrid
	COMUNIDAD DEL COLEGIO SAGRADO CORAZON DE JESUS	,madrid,madrid,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
	COMUNIDAD EN COLEGIO HOGAR DEL BUEN CONSEJO	,madrid,pozuelo de alarcon,Agustinos - Colegio del Buen Consejo,madrid,madrid
	COMUNIDAD EN COLEGIO NUESTRA SEÃORA DEL CARMEN	,madrid,mostoles,Carmelitas - Colegio N. Sra. del Carmen,alicante,orihuela
	COMUNIDAD EN COLEGIO SANTA ISABEL	,madrid,madrid,Hijas de la Caridad - Colegio Santa Isabel,madrid,madrid
	COMUNIDAD HERMANAS MISIONERAS DOMINICAS DEL ROSARIO	,madrid,madrid,Misioneras Dominicas del Rosario,madrid,madrid
	COMUNIDAD HERMANOS DEL SAGRADO CORAZON	,madrid,pozuelo de alarcon,Misioneros del Sagrado Corazón,madrid,madrid
	COMUNIDAD HIJAS DE MARIA AUXILIADORA	,madrid,madrid,Hijas de María Auxiliadora,cádiz,cádiz
	COMUNIDAD INMACULADA CONCEPCION	,madrid,madrid,Parroquia Inmaculada Concepción,burgos,burgos
	COMUNIDAD MADRE DEL BUEN CONSEJO	,madrid,galapagar,Agustinos - Colegio del Buen Consejo,madrid,madrid
	COMUNIDAD MARIA MADRE DEL AMOR HERMOSO	,madrid,madrid,Cofradía Virgen del Amor Hermoso,murcia,beniel
	COMUNIDAD MISIONERAS CORAZON DE MARIA	,madrid,madrid,La Misión de María,madrid,madrid
	COMUNIDAD NOVICIADO DE HERMANOS DEL SAGRADO CORAZON	,madrid,griãon,Misioneros del Sagrado Corazón,madrid,madrid
	COMUNIDAD NUESTRA SEÃORA DE LOS ANGELES	,madrid,madrid,Comunidad Apostólica Reina de los Ángeles,ciudad real,daimiel
	COMUNIDAD NUESTRA SEÃORA DEL CARMEN	,madrid,madrid,A. Nuestra Señora del Carmen,málaga,málaga
	COMUNIDAD SAGRADO CORAZON DE JESUS	,madrid,los molinos,Fundación Verdadera Devoción al Corazón de Jesús,madrid,colmenarejo
	COMUNIDAD SAN RICARDO PAMPURI	,madrid,madrid,San Juan de Dios - Comunidad San Ricardo Pampuri,madrid,madrid
	COMUNIDAD SANTA MARIA DEL POZO	,madrid,madrid,Parroquia Santa María del Pozo,madrid,madrid
	COMUNIDAD STELLA MARIS - A	,madrid,madrid,Comunidad Stella Maris,madrid,madrid
	COMUNIDAD STELLA MARIS - B	,madrid,madrid,Comunidad Stella Maris,madrid,madrid
	COMUNIDAD-COLEGIO NUESTRA SEÃORA DEL BUEN CONSEJO	,madrid,madrid,Agustinos - APA Colegio N. Sra. del Buen Consejo,madrid,madrid
"	CONGREGACION  MISIONEROS DEL SAGRADO CORAZON DE JESUS, EN ESPAÃA	",madrid,madrid,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
"	CONGREGACION ""APOSTOLICAS DEL CORAZON DE JESUS""	",madrid,madrid,Apostólicas del Corazón de Jesús,madrid,madrid
"	CONGREGACION ""COMPAÃIA MISIONERA DEL SAGRADO CORAZON DE JESUS""	",madrid,madrid,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
"	CONGREGACION ""DOMINICAS DOCENTES DE LA INMACULADA CONCEPCION""	",madrid,madrid,Concepcionistas - Colegio La Inmaculada,madrid,madrid
"	CONGREGACION ""HERMANAS CARMELITAS TERESAS DE SAN JOSE""	",madrid,madrid,Carmelitas Teresas de San José,salamanca,tormes
"	CONGREGACION ""HERMANAS HOSPITALARIAS DEL SAGRADO CORAZON DE JESUS""	",madrid,madrid,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
"	CONGREGACION ""HERMANAS TERCIARIAS CAPUCHINAS DE LA SAGRADA FAMILIA""	",madrid,madrid,Hermanos de la Sagrada Familia,madrid,madrid
"	CONGREGACION ""HIJAS DE LA CARIDAD DE MARIA INMACULADA"", EN ESPAÃA	",madrid,morata de tajuãa,Hijas de la Caridad - Colegio María Inmaculada,albacete,albacete
"	CONGREGACION ""HIJAS DE SANTA MARIA DEL CORAZON DE JESUS"", EN ESPAÃA	",madrid,galapagar,Hijas de Santa María del Corazón de Jesús - Colegio,cantabria,ánaz
"	CONGREGACION ""HIJOS DE LA CARIDAD""	",madrid,getafe,Hijas de la Caridad,almería,almería
"	CONGREGACION ""MISIONERAS DE JESUS, MARIA Y JOSE""	",madrid,madrid,Religiosas de Jesús María - Colegio,madrid,madrid
"	CONGREGACION ""MISIONERAS DE MARIA INMACULADA (SIERVAS DE LAS OBRERAS)""	",madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
"	CONGREGACION ""MISIONERAS DE MARIA MEDIADORA""	",madrid,madrid,La Misión de María,madrid,madrid
"	CONGREGACION ""MISIONERAS DEL SANTISIMO SACRAMENTO Y MARIA INMACULADA""	",madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
"	CONGREGACION ""MISIONEROS COMBONIANOS DEL CORAZON DE JESUS"" (M.C.C.J.)	",madrid,madrid,Apostólicas del Corazón de Jesús,madrid,madrid
"	CONGREGACION ""MISIONEROS DE LA SAGRADA FAMILIA""	",madrid,madrid,Hermanos de la Sagrada Familia,madrid,madrid
"	CONGREGACION ""MISIONEROS OBLATOS DE MARIA INMACULADA""	",madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
"	CONGREGACION ""OBLATAS DEL SANTISIMO REDENTOR""	",madrid,madrid,Oblatas del Santísimo Redentor,almería,almería
"	CONGREGACION CELADORAS DEL REINADO DEL CORAZON DE JESUS, EN ESPAÃA	",madrid,madrid,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
	CONGREGACION DE LOS LEGIONARIOS DE CRISTO	,madrid,madrid,Legionarios de Cristo,madrid,madrid
	CONGREGACION DE SANTO DOMINGO	,madrid,madrid,Fundación Santo Domingo,murcia,lorca
	CONGREGACION DEL ORATORIO DE SAN FELIPE NERI	,madrid,alcala de henares,Oratorio San Felipe Neri,barcelona,barcelona
	CONGREGACION DEL ORATORIO DE SAN FELIPE NERI	,madrid,alcala de henares,Oratorio San Felipe Neri,barcelona,barcelona
	CONGREGACION DEL SAGRADO CORAZON DE JESUS	,madrid,madrid,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
	CONGREGACION ESCLAVAS DEL SAGRADO CORAZON DE JESUS Y PROCURA GENERAL	,madrid,madrid,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
	CONGREGACION HERMANAS CARMELITAS DEL SAGRADO CORAZON DE JESUS	,madrid,madrid,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
	CONGREGACION HERMANAS DE LA CARIDAD DEL SAGRADO CORAZON DE JESUS (CORAZONISTAS)	,madrid,madrid,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
	CONGREGACION HERMANAS JOSEFINAS DE LA SANTISIMA TRINIDAD	,madrid,madrid,Hermandad de la Santísima Trinidad,tarragona,l'espluga de f.
	CONGREGACION HERMANAS MISIONERAS DOMINICAS DEL ROSARIO	,madrid,madrid,Misioneras Dominicas del Rosario,madrid,madrid
	CONGREGACION HERMANITAS DE LOS POBRES	,madrid,madrid,Hermanitas de los Pobres,almería,almería
	CONGREGACION HIJAS DE JESUS	,madrid,madrid,Siervas de Jesús,madrid,madrid
	CONGREGACION HIJAS DE LA VIRGEN DE LOS DOLORES	,madrid,madrid,Hijas de la Virgen de los Dolores,cáceres,trujillo
"	CONGREGACION HIJAS DEL PATROCINIO DE MARIA, EN ESPAÃA	",madrid,madrid,Hijas del Patrocinio de María,córdoba,córdoba
	CONGREGACION MISIONERAS CRUZADAS DE LA IGLESIA	,madrid,madrid,Misioneras Cruzadas de la Iglesia,madrid,madrid
	CONGREGACION MISIONERAS DE CRISTO JESUS	,madrid,madrid,Misioneras de Cristo Jesús,barcelona,barcelona
"	CONGREGACION MISIONERAS DEL SAGRADO CORAZON DE JESUS (DE HILTRUP), EN ESPAÃA	",madrid,madrid,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
	CONGREGACION MISIONERAS ESCLAVAS DEL INMACULADO CORAZON DE MARIA	,madrid,madrid,Misioneras Esclavas del Corazón de María - Colegio,madrid,madrid
	CONGREGACION MISIONEROS HIJOS DEL INMACULADO CORAZON DE MARIA (CLARETIANOS)	,madrid,madrid,Misioneras Esclavas del Corazón de María - Colegio,madrid,madrid
	CONGREGACION RELIGIOSAS DE MARIA INMACULADA (SERVICIO DOMESTICO)-CURIA GENERAL	,madrid,madrid,Religiosas de María Inmaculada - Servicio Doméstico,melilla,melilla
"	CONGREGACION RELIGIOSAS DEL APOSTOLADO DEL SAGRADO CORAZON DE JESUS, EN ESPAÃA	",madrid,madrid,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
"	CONGREGACION REPARADORAS DEL SAGRADO CORAZON DE JESUS, EN ESPAÃA	",madrid,majadahonda,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
"	CONGREGACION SIERVAS DE LOS POBRES HIJAS DEL SAGRADO CORAZON DE JESUS, EN ESPAÃA	",madrid,madrid,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
"	CONGREGACION SIERVAS DE MARIA MINISTRAS DE LOS ENFERMOS, EN ESPAÃA	",madrid,madrid,Siervas de María Ministras de Enfermos en La Habana,cuba,la habana
	CONVENTO DE LA PURISIMA CONCEPCION	,madrid,madrid,Hermandad de la Purísima Concepción,córdoba,córdoba
	CONVENTO DE SAN FRANCISCO	,madrid,alcala de henares,Convento de San Francisco,a coruña,santiago
	CONVENTO DE SAN JOSE	,madrid,madrid,Siervas de San José,madrid,madrid
	CONVENTO DE SAN JOSE DE JESUS MARIA	,madrid,madrid,Religiosas de Jesús María,madrid,madrid
	CONVENTO DE SANTA TERESA DE JESUS	,madrid,madrid,Parroquia Santa Teresa de Jesús,madrid,colmenar
	CONVENTO DEL SAGRADO CORAZON	,madrid,madrid,Misioneros del Sagrado Corazón,madrid,madrid
	CONVENTO DEL SAGRADO CORAZON DE JESUS	,madrid,getafe,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
	CONVENTO DEL SAGRADO CORAZON DE JESUS Y SAN JOSE	,madrid,la aldehuela,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
	CONVENTO DEL SANTISIMO ROSARIO	,madrid,madrid,Hermandad del Santísimo Rosario,sevilla,dos hermanas
	CONVENTO INMACULADA CONCEPCION	,madrid,alcobendas,Concepcionistas - Convento Inmaculada Concepción,sevilla,lebrija
"	INSTITUTO ""HIJAS DE MARIA AUXILIADORA (SALESIANAS DE SAN JUAN BOSCO)""	",madrid,madrid,Hijas de María Auxiliadora - Colegio San Juan Bosco,pontevedra,vigo
"	INSTITUTO ""MISIONERAS OBLATAS DE MARIA INMACULADA""	",madrid,madrid,Religiosas de María Inmaculada,madrid,madrid
	INSTITUTO CATEQUISTA DOLORES SOPEÃA	,madrid,madrid,Instituto Catequista Dolores Sopeña,madrid,madrid
	INSTITUTO DE HERMANOS DEL SAGRADO CORAZON - PROVINCIA DE ESPAÃA	,madrid,madrid,Misioneras del Sagrado Corazón - Colegio,madrid,madrid
	INSTITUTO HIJAS DEL CORAZON DE MARIA-PROVINCIA DE ESPAÃA	,madrid,madrid,Misioneras Esclavas del Corazón de María - Colegio,madrid,madrid
"	INSTITUTO SECULAR ""CRUZADAS DE SANTA MARIA""	",madrid,madrid,Archicofradía de Santa María y Hospital,madrid,madrid
	MISIONERAS DE LA INMACULADA CONCEPCION	,madrid,madrid,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
	MISIONERAS ESCLAVAS DEL INMACULADO CORAZON DE MARIA	,madrid,madrid,Misioneras Esclavas del Corazón de María - Colegio,madrid,madrid
	MISIONERAS ESCLAVAS DEL INMACULADO CORAZON DE MARIA	,madrid,madrid,Misioneras Esclavas del Corazón de María - Colegio,madrid,madrid
	MONASTERIO  DEL SAGRADO CORAZON DE JESUS Y SAN JOSE	,madrid,san lorenzo de el escorial,Hermanos del Sagrado Corazón de Jesús,madrid,madrid
	MONASTERIO  DEL SAGRADO CORAZON Y LA VIGEN DEL CARMEN	,madrid,madrid,Misioneros del Sagrado Corazón,madrid,madrid
	MONASTERIO CORPUS CHRISTI	,madrid,madrid,Jerónimas - Monasterio Corpus Christi,madrid,madrid
	MONASTERIO DE CRISTO REDENTOR	,madrid,madrid,Hermandad Cristo Redentor,barcelona,badalona
	MONASTERIO DE LA CONCEPCION	,madrid,torrelaguna,Clarisas - Monasterio de la Concepción,pontevedra,tui
	MONASTERIO DE LA ENCARNACION	,madrid,colmenar de oreja,Dominicas - Monasterio de la Encarnación,cáceres,plasencia
	MONASTERIO DE LA ENCARNACION	,madrid,valdemoro,Dominicas - Monasterio de la Encarnación,cáceres,plasencia
	MONASTERIO DE LA INMACULADA CONCEPCION	,madrid,loeches,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
