Denomiancion ERE,provincia_entidad,poblacion_entidad,Denominacion BDNS,provincia_subvencionada,localidad_subvencionada
	CASA-CENACULO COLEGIO MARIA INMACULADA	,alicante,xabia,Obreras de la Cruz - Colegio María Inmaculada,alicante,xàbia
	CASA-CENACULO MARIA ASUNTA	,alicante,castalla,Obreras de la Cruz - Colegio María Asunta,alicante,castalla
	COLEGIO NUESTRA SEÃORA DE LOS DOLORES	,alicante,benidorm,Asilo N. Sra. de los Dolores,alicante,benissa
	COMUNIDAD EN COLEGIO NUESTRA SEÃORA DE LOS DOLORES	,alicante,villena,Amigonianos - Colegio N. Sra. de los Dolores,albacete,hellín
	COMUNIDAD HERMANITAS DE SAN JOSE DE MONTGAY	,alicante,denia,Hermanitas de San José de Montgay,alicante,denia
	COMUNIDAD HIJAS DE MARIA AUXILIADORA	,alicante,alicante,Hijas de María Auxiliadora,cádiz,cádiz
	COMUNIDAD INMACULADA	,alicante,alicante,Parroquia Inmaculada,cádiz,san roque
	COMUNIDAD NUESTRA SEÃORA DEL CARMEN	,alicante,elche,A. Nuestra Señora del Carmen,málaga,málaga
	COMUNIDAD NUESTRA SEÃORA DEL CARMEN	,alicante,crevillente,A. Nuestra Señora del Carmen,málaga,málaga
	COMUNIDAD SANTA MARIA	,alicante,elche,Basílica Santa María,alicante,elche
	CONVENTO COLEGIO SAN ANTONIO DE PADUA	,alicante,alicante,Capuchinos - Colegio San Antonio de Padua,zaragoza,zaragoza
	CONVENTO DE LA SANTISIMA TRINIDAD	,alicante,orihuela,Hermandad de la Santísima Trinidad,tarragona,l'espluga de f.
	CONVENTO DE SANTA ANA	,alicante,orihuela,Parroquia de Santa Ana,alicante,ondara
	CONVENTO SANTA MARIA	,alicante,denia,Basílica Santa María,alicante,elche
	FRATERNIDAD MONASTICA DE LA PAZ	,alicante,mutxamel,Hermandad N. Sra. de la Paz,albacete,hellín
	INSTITUTO SECULAR IGNIS ARDENS	,alicante,alicante,Instituto Secular Ignis Ardens,alicante,alicante
	MONASTERIO  DEL ESPIRITU SANTO	,alicante,elche,Misioneros del Espíritu Santo,madrid,madrid
	MONASTERIO DE LA INMACULADA	,alicante,onil,Concepcionistas - Monasterio de la Inmaculada,cuenca,cuenca
	MONASTERIO DE LA SANTISIMA TRINIDAD	,alicante,villena,Hermandad de la Santísima Trinidad,tarragona,l'espluga de f.
	MONASTERIO DE SAN SEBASTIAN	,alicante,orihuela,Cofradía de San Sebastián,salamanca,ciudad rodrigo
	MONASTERIO DEL SANTO SEPULCRO	,alicante,alcoy,Congregación del Santo Sepulcro,jaén,jaén
	MONASTERIO SAGRADO CORAZON	,alicante,altea,Maristas - Colegio Sagrado Corazón,alicante,alicante
ARCHICOFRADIA DE LA VIRGEN DE LOS LIRIOS,alicante,alcoy,Archicofradía Virgen de los Lirios,alicante,alcoi
"ASOCIACION ""CONGREGACION DE MARIA INMACULADA""",alicante,callosa de segura,Salesianos - Colegio María Inmaculada,badajoz,puebla de la c.
ASOCIACION AUROROS DE DOLORES,alicante,dolores,Asilo N. Sra. de los Dolores,alicante,benissa
ASOCIACION RELIGIOSA DEL SAGRADO CORAZON,alicante,torrevieja,RSCJ - Religiosas del Sagrado Corazón,madrid,madrid
ASOCIACION SOCIEDAD VENIDA DE LA VIRGEN,alicante,elche,Sociedad Venida de la Virgen,alicante,elche
COFRADIA  SAN JUAN EVANGELISTA,alicante,catral,Cofradía San Juan Evangelista,córdoba,córdoba
COFRADIA DE  NUESTRO PADRE JESUS CAUTIVO,alicante,catral,Cofradía de Nuestro Padre Jesús,jaén,jaén
COFRADIA DE JESUS NAZARENO DE XABIA (ALICANTE),alicante,xabia,Cofradía de Jesús Nazareno,almería,cuevas de a.
COFRADIA DE JESUS TRIUNFANTE,alicante,pilar de la horadada,Cofradía Jesús Triunfante,valencia,carcaixent
COFRADIA DE LA FLAGELACION,alicante,novelda,Cofradía de la Flagelación,valencia,carcaixent
COFRADIA DE LA ORACION DE JESUS EN EL HUERTO,alicante,guardamar del segura,Cofradía de la Sentencia de Jesús,alicante,alicante
COFRADIA DE LA ORACION DEL HUERTO,alicante,crevillente,Cofradía Oración del Huerto,zaragoza,escatrón
COFRADIA DE LA ORACION EN EL HUERTO,alicante,elche,Cofradía Oración en el Huerto,badajoz,almendralejo
COFRADIA DE LA PIEDAD,alicante,san fulgencio,Cofradía de la Piedad,córdoba,cabra
COFRADIA DE LA PRECIOSISIMA SANGRE DE JESUS DE CASTALLA,alicante,castalla,Cofradía de la Sentencia de Jesús,alicante,alicante
COFRADIA DE LA SANTA FAZ  DE JESUS Y LA MUJER VERONICA,alicante,novelda,Cofradía de la Sentencia de Jesús,alicante,alicante
COFRADIA DE LA SANTISIMA SANGRE,alicante,denia,Cofradía Santísima Sangre,alicante,denia
COFRADIA DE LA SANTISIMA SANGRE DE CRISTO,alicante,elche,Cofradía de la Sangre de Cristo,valencia,lliria
COFRADIA DE LA SENTENCIA DE JESUS DE ALICANTE,alicante,alicante,Cofradía de la Sentencia de Jesús,alicante,alicante
COFRADIA DE LA VERONICA,alicante,pego,Cofradía de la Verónica,tarragona,reus
COFRADIA DE LA VIRGEN DE LA SOLEDAD,alicante,cox,Cofradía Virgen de la Soledad,córdoba,rute
COFRADIA DE LA VIRGEN DE LOS DOLORES,alicante,cox,Hijas de la Virgen de los Dolores,cáceres,trujillo
COFRADIA DE LA VIRGEN DE LOS DOLORES,alicante,altea,Hijas de la Virgen de los Dolores,cáceres,trujillo
COFRADIA DE NUESTRO PADRE JESUS CAUTIVO (NAZARENO) DE TORREVIEJA,alicante,torrevieja,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
COFRADIA DE NUESTRO PADRE JESUS NAZARENO,alicante,monovar,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
COFRADIA DE NUESTRO PADRE JESUS NAZARENO,alicante,guardamar del segura,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
COFRADIA DE NUESTRO PADRE JESUS NAZARENO,alicante,cox,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
COFRADIA DE NUESTRO PADRE JESUS NAZARENO,alicante,santo joan d`alacant,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
COFRADIA DE NUESTRO PADRE JESUS NAZARENO,alicante,san fulgencio,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
COFRADIA DE NUESTRO PADRE JESUS NAZARENO DE BENIDORM,alicante,benidorm,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
COFRADIA DE NUESTRO PADRE JESUS NAZARENO DE ELCHE,alicante,elche,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
"COFRADIA DE NUESTRO PADRE JESUS NAZARENO, DE ROJALES",alicante,rojales,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
COFRADIA DE NUESTRO PADRE JESUS RESCATADO,alicante,elche,Cofradía de Nuestro Padre Jesús,jaén,jaén
COFRADIA DE NUESTRO PADRE JESUS TRIUNFANTE,alicante,cox,Cofradía de Nuestro Padre Jesús,jaén,jaén
COFRADIA DE SAN ISIDRO LABRADOR,alicante,torremendo,Hermandad San Isidro Labrador,ciudad real,alcázar
COFRADIA DE SAN ISIDRO LABRADOR,alicante,crevillente,Hermandad San Isidro Labrador,ciudad real,alcázar
COFRADIA DE SAN JUAN Y LA DOLOROSA,alicante,cox,Cofradía de la Dolorosa,valencia,tous
COFRADIA DE SAN ROQUE,alicante,alicante,Cofradía de San Roque,álava,llodio
COFRADIA DE SANTA MARIA MAGDALENA Y JESÃS DEL PERDÃN,alicante,callosa de segura,Cofradía de María Magdalena,alicante,alicante
COFRADIA DEL CRISTO CRUCIFICADO,alicante,pilar de la horadada,Cofradía de Cristo Crucificado,barcelona,masqueda
"COFRADIA DEL CRISTO RESUCITADO,",alicante,elche,Cofradía del Cristo Resucitado,murcia,beniel
COFRADIA DEL CRISTO YACENTE,alicante,san fulgencio,Cofradía del Cristo Yacente,guadalajara,guadalajara
COFRADIA DEL DESCENDIMIENTO DE JESUS DE NOVELDA,alicante,novelda,Cofradía de la Sentencia de Jesús,alicante,alicante
COFRADIA DEL ECCE HOMO,alicante,novelda,Cofradía del Ecce Homo,murcia,jumilla
COFRADIA DEL ECCE HOMO,alicante,elche,Cofradía del Ecce Homo,murcia,jumilla
COFRADIA DEL SANTISIMO CRISTO CRUCIFICADO,alicante,monovar,Cofradía de Cristo Crucificado,barcelona,masqueda
COFRADIA DEL SANTISIMO CRISTO DE LA AGONIA,alicante,novelda,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DE LA PAZ,alicante,sant joan d' alacant,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DE LA VILLA DE PLANES,alicante,planes,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DE ZALAMEA DE ELCHE,alicante,elche,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DEL PERDON,alicante,elche,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DEL SAGRARIO DE ALTEA,alicante,altea,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO CRISTO DEL SILENCIO,alicante,cox,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTISIMO SACRAMENTO,alicante,orihuela,Cofradía del Santísimo Sacramento,burgos,burgos
COFRADIA DEL SANTISIMO SEPULCRO,alicante,catral,Cofradía del Santo Sepulcro,ciudad real,bolaños de c.
COFRADIA DEL SANTO CRISTO DE LA EUCARISTIA,alicante,pilar de la horadada,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTO ENCUENTRO,alicante,cox,Clavaria del Encuentro,valencia,burjassot
COFRADIA DEL SANTO SEPULCRO,alicante,pilar de la horadada,Cofradía del Santo Sepulcro,ciudad real,bolaños de c.
COFRADIA DEL SANTO SEPULCRO,alicante,cox,Cofradía del Santo Sepulcro,ciudad real,bolaños de c.
COFRADIA DEL SANTO SEPULCRO,alicante,hondon de las nieves,Cofradía del Santo Sepulcro,ciudad real,bolaños de c.
COFRADIA DEL SANTO SEPULCRO,alicante,albatera,Cofradía del Santo Sepulcro,ciudad real,bolaños de c.
COFRADIA ECCE HOMO,alicante,altea,Cofradía Ecce Homo,albacete,hellín
COFRADIA JESUS NAZARENO Y EL CRISTO DE LA COLUMNA,alicante,ibi,Cofradía Cristo de la Columna,cuenca,mota del cuervo
COFRADIA JESUS RESCATADO,alicante,crevillente,Cofradía de Jesús Resucitado,córdoba,rute
COFRADIA JESUS TRIUNFANTE,alicante,crevillent,Cofradía Jesús Triunfante,valencia,carcaixent
COFRADIA LA SAMARITANA,alicante,crevillente,Hermandad de la Samaritana,albacete,hellín
COFRADIA MADRE DEL DIVINO AMOR,alicante,novelda,Cofradía Cristo del Divino Amor,alicante,alicante
COFRADIA NUESTRA SEÃORA DE LOS DOLORES,alicante,novelda,Cofradía N. Sra. de los Dolores,albacete,hellín
