Comunidad Autónoma,Provincia,REGISTRO,Municipio,Titulo,Tipo,Templo y dependencias complementarias,Titular,Título distinto de certificación eclesiástica
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Parroquia de San Bernardo y dependencias Anexas,Parroquia,True,"Parroquia de San Bernardo (86 %)
Hermandad de San Bernardo (14%)",False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Omnium Sanctorum,Parroquia,True,Diocesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,San Pedro,Parroquia,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,San Juan de la Palma,Iglesia,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Salones Parroquiales de San Pedro,Salones parroquiales,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Dependencias parroquiales de San Gil,Dependencias parroquiales,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,San Gil,Parroquia,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Santa Inés,Monasterio,True,Comunidad Religiosa,False
Andalucia Occidental,Sevilla,Sevilla Nº 15,Sevilla,Parroquia de San Marcos,Parroquia,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla Nº 15,Sevilla,Parroquia de San Julián,Parroquia,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla Nº 15,Sevilla,Dependencias anexas de la Parroquia de San Julián,Parroquia,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Iglesia de LOS TERCEROS,Iglesia,True,Diocesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Iglesia de SANTA CATALINA,Iglesia,True,Archidiocesis/Hermandad de la Exaltacion,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Parroquia de SAN NICOLAS,Parroquia,True,Archidocesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Parroquia de SAN BARTOLOMÉ,Parroquia,True,Archidocesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Parroquia de SAN ISIDORO,Parroquia,True,Archidocesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Parroquia de SAN ILDEFONSO,Parroquia,True,Archidocesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Iglesia de SAN ESTEBAN,Iglesia,True,Archidocesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Vivienda,Vivienda,False,Archidocesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Palacio Arzobispal,Palacio Arzobispal,True,Archidocesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Iglesia de SANTIAGO,Iglesia,True,Archidocesis de Sevilla,False
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Iglesia de SAN JOSÉ,Iglesia,True,Delegación en Sevilla de la Prelatura del Opus Dei,True
Andalucia Occidental,Sevilla,Sevilla,Sevilla,Parroquia de SANTA CRUZ,Parroquia,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Utrera,Utrera,Parroquia de Santiago,Casa Rectoral,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Utrera,Utrera,Santiago,Parroquia,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Los Molares,Los Molares,Santa Marta,Parroquia,True,Diócesis de Sevilla,False
Andalucia Occidental,Sevilla,Lebrija,Lebrija,San Benito,Ermita,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Lebrija,Lebrija,Santa María del Castillo,Ermita,True,Archidiócesis de Sevilla,False
Andalucia Occidental,Sevilla,Lebrija,Lebrija,Capilla Belén,Capilla,True,Archidiócesis de Sevilla,False
