comunidad_autonoma_codigo,codigo_ine,codigo_ine_completo,nombre_oficial,nombre_alternativo,nombre_cooficial,provincia_codigo,activo
08,02041,0204101,Jorquera,Jorquera,Jorquera,02,True
08,02042,0204206,Letur,Letur,Letur,02,True
08,02043,0204302,Lezuza,Lezuza,Lezuza,02,True
08,02044,0204407,Liétor,Liétor,Liétor,02,True
08,02045,0204500,Madrigueras,Madrigueras,Madrigueras,02,True
08,02046,0204603,Mahora,Mahora,Mahora,02,True
08,02047,0204709,Masegoso,Masegoso,Masegoso,02,True
08,02048,0204805,Minaya,Minaya,Minaya,02,True
08,02049,0204908,Molinicos,Molinicos,Molinicos,02,True
08,02050,0205001,Montalvos,Montalvos,Montalvos,02,True
08,02051,0205108,Montealegre del Castillo,Montealegre del Castillo,Montealegre del Castillo,02,True
08,02052,0205203,Motilleja,Motilleja,Motilleja,02,True
08,02053,0205309,Munera,Munera,Munera,02,True
08,02054,0205404,Navas de Jorquera,Navas de Jorquera,Navas de Jorquera,02,True
08,02055,0205507,Nerpio,Nerpio,Nerpio,02,True
08,02056,0205600,Ontur,Ontur,Ontur,02,True
08,02057,0205706,Ossa de Montiel,Ossa de Montiel,Ossa de Montiel,02,True
08,02058,0205802,Paterna del Madera,Paterna del Madera,Paterna del Madera,02,True
08,02060,0206009,Peñas de San Pedro,Peñas de San Pedro,Peñas de San Pedro,02,True
08,02059,0205905,Peñascosa,Peñascosa,Peñascosa,02,True
08,02061,0206106,Pétrola,Pétrola,Pétrola,02,True
08,02062,0206201,Povedilla,Povedilla,Povedilla,02,True
08,02901,0290100,Pozo Cañada,Pozo Cañada,Pozo Cañada,02,True
08,02063,0206307,Pozohondo,Pozohondo,Pozohondo,02,True
08,02064,0206402,Pozo-Lorente,Pozo,Lorente,02,True
08,02065,0206505,Pozuelo,Pozuelo,Pozuelo,02,True
08,02066,0206608,"Recueja, La","Recueja, La","Recueja, La",02,True
08,02067,0206704,Riópar,Riópar,Riópar,02,True
08,02068,0206800,Robledo,Robledo,Robledo,02,True
08,02069,0206903,"Roda, La","Roda, La","Roda, La",02,True
08,02070,0207007,Salobre,Salobre,Salobre,02,True
08,02071,0207104,San Pedro,San Pedro,San Pedro,02,True
08,02072,0207209,Socovos,Socovos,Socovos,02,True
08,02073,0207305,Tarazona de la Mancha,Tarazona de la Mancha,Tarazona de la Mancha,02,True
08,02074,0207400,Tobarra,Tobarra,Tobarra,02,True
